Lead Service Address,x,y
135 LONDON ST EAST BOSTON,780866.5820901096,2961473.590792194
135 WEBSTER ST EAST BOSTON,781597.9107538015,2958760.335107222
136 RUTHVEN ST ROXBURY,767300.2964074612,2939169.3830783665
1360 COMMONWEALTH AV ALLSTON,754527.8868308663,2951740.436775729
137 BOSTON ST DORCHESTER,775284.4496643245,2943780.9396678954
137 CAROLINA AV JAMAICA PLAIN,761592.2238693982,2937423.729359314
137 GENEVA AV DORCHESTER,770316.5227681398,2936699.369967088
137 LEYDEN ST EAST BOSTON,789382.6332543194,2967116.335558027
1371 COMMONWEALTH AV ALLSTON,754409.2371462882,2952233.589997232
138 DEVON ST ROXBURY,770776.5194825381,2937523.5632810295
138 MERIDIAN ST EAST BOSTON,780665.857031852,2961562.6792863607
138 NONANTUM ST BRIGHTON,744451.2114783078,2952712.2125629038
138 TRAIN ST DORCHESTER,777088.1340749413,2931422.6283801347
138 WASHINGTON ST ROXBURY,769923.2842110097,2936378.705156043
138 WEST NEWTON ST BOSTON,770383.0172265172,2949956.281808451
139 SAINT ALPHONSUS ST ROXBURY,763839.6300550997,2946450.1080427617
139 THORNTON ST ROXBURY,766438.1975870728,2942867.4891166985
139 WEST CANTON ST BOSTON,771119.6026308984,2950244.1938257217
14 ALASKA ST ROXBURY,770044.3719007224,2942405.700036064
14 ALPHA RD DORCHESTER,773093.447825402,2933168.832782328
