,lat,long,tot_num_serv_connects_sdwis,tot_num_serv_connects,tot_num_sl_w_lead,no_lead_serv_connects,unk_mat_serv_connects,pct_lsl_calc
265,39.911489,-85.161009,930,900.0,25.0,800.0,75.0,2.78
266,39.990378,-86.09984,44,,,,,
267,41.733706,-86.484886,26,,,,,
268,41.523278,-84.917231,985,980.0,0.0,980.0,,0.0
269,41.380954,-86.582019,347,,,,,
270,41.59541,-87.499737,24115,24148.0,,,24148.0,
271,38.720999,-85.467447,109,,,,,
272,38.714164,-85.467087,1125,,,,,
273,40.079371,-85.699088,19,,,,,
274,40.456838,-85.369412,2508,,,,,
275,38.205007,-87.574821,868,841.0,,841.0,,
276,38.976092,-85.739772,952,1102.0,1102.0,,,100.0
277,38.489045,-87.542875,147,,,,,
278,41.318648,-87.200309,1376,1296.0,,1296.0,,
279,39.385679,-85.045161,864,850.0,0.0,850.0,0.0,0.0
280,40.419825,-86.8891,24,,,,,
281,40.687314,-85.4299,1,,,,,
282,39.014313,-85.644188,90,,,,,
283,41.553655,-87.447973,9093,9196.0,461.0,7356.0,1103.0,5.01
284,39.612824,-86.37416,2985,2950.0,0.0,2950.0,0.0,0.0
285,40.108371,-87.158989,280,,,,,
286,39.785871,-87.390295,265,,,,,
287,40.770847,-86.347761,48,48.0,,48.0,,
288,39.056558,-84.901661,478,475.0,,,475.0,
289,41.634773,-84.999409,90,,,,,
290,38.169748,-87.10373,545,,,,,
291,41.466711,-86.483068,33,,,,,
292,39.075942,-85.348391,945,945.0,0.0,945.0,0.0,0.0
293,41.193838,-85.8241,40,,,,,
294,41.086409,-85.130027,32,26.0,0.0,26.0,0.0,0.0
295,41.536202,-87.125034,18,,,,,
296,39.133951,-85.130736,3483,3413.0,0.0,3413.0,0.0,0.0
297,39.766924,-85.516945,25,28.0,0.0,28.0,0.0,0.0
298,39.302044,-85.767772,830,850.0,0.0,850.0,,0.0
299,41.532828,-85.081079,253,,,,,
300,41.228502,-85.172422,3350,3294.0,0.0,3294.0,0.0,0.0
301,38.294581,-86.985291,2459,2700.0,45.0,2655.0,0.0,1.67
302,40.855939,-85.498475,7516,6844.0,,2976.0,3868.0,
303,39.186324,-87.303477,418,433.0,0.0,433.0,0.0,0.0
304,41.418631,-87.236494,1659,1661.0,0.0,1661.0,0.0,0.0
305,41.366807,-87.378197,32,,,,,
306,40.148586,-86.013021,18,,,,,
307,40.0516,-86.845284,5919,6055.0,155.0,5900.0,0.0,2.56
308,39.253897,-87.379765,701,650.0,50.0,580.0,20.0,7.69
309,39.619891,-86.081502,30226,30000.0,778.0,29222.0,,2.59
310,40.486291,-86.110741,20974,24600.0,986.0,22587.0,1027.0,4.01
311,39.726994,-87.331921,313,340.0,0.0,340.0,0.0,0.0
312,39.135696,-87.60502,136,130.0,0.0,120.0,10.0,0.0
313,39.612737,-86.384027,3811,3800.0,100.0,3650.0,50.0,2.63
314,40.18224,-85.350136,26882,30000.0,1996.0,26924.0,1080.0,6.65
315,37.948227,-87.405916,8433,8640.0,20.0,8620.0,0.0,0.23
316,40.008358,-86.006377,15667,15696.0,249.0,15447.0,0.0,1.59
317,41.599334,-87.342584,66713,80026.0,35632.0,44108.0,286.0,44.53
318,39.854269,-84.879186,15121,17000.0,4617.0,12383.0,0.0,27.16
319,40.417864,-86.271109,449,460.0,0.0,460.0,0.0,0.0
320,39.634274,-86.094017,31405,34183.0,233.0,33721.0,279.0,0.68
321,38.95712,-85.890949,7484,7450.0,20.0,4350.0,3100.0,0.27
322,39.522928,-85.769484,6652,6707.0,593.0,6107.0,7.0,8.84
323,40.668723,-85.829446,93,97.0,0.0,97.0,0.0,0.0
324,39.095461,-87.409606,2409,5350.0,250.0,3600.0,1500.0,4.67
325,40.340801,-85.644747,378,420.0,31.0,389.0,0.0,7.38
326,39.476828,-87.417317,24289,30500.0,6500.0,18000.0,6000.0,21.31
327,40.803973,-85.826506,4406,4460.0,595.0,3865.0,0.0,13.34
328,41.267062,-85.86017,4850,5100.0,262.0,4838.0,0.0,5.14
329,39.877119,-87.04498,220,213.0,13.0,200.0,0.0,6.1
330,40.434741,-86.898871,12176,12013.0,0.0,12013.0,0.0,0.0
331,39.918911,-85.41874,63,63.0,0.0,63.0,0.0,0.0
332,40.171721,-84.96749,2012,2300.0,1039.0,1261.0,0.0,45.17
333,37.918637,-87.298211,650,664.0,0.0,664.0,0.0,0.0
334,39.472929,-86.044727,62,62.0,0.0,62.0,0.0,0.0
335,39.961898,-85.802537,1068,1606.0,0.0,1606.0,0.0,0.0
336,41.383768,-86.196494,22,,,,,
337,38.414692,-86.9994,1610,,,1567.0,,
338,39.520324,-87.360319,15,,,,,
339,41.61,-86.72,119,,,,,
340,39.031872,-85.831488,381,375.0,,375.0,0.0,
341,38.886295,-86.057063,4919,5225.0,75.0,5150.0,0.0,1.44
342,39.926711,-86.628893,487,,,,,
343,39.162862,-87.201749,2200,1650.0,0.0,1300.0,350.0,0.0
344,38.39,-86.93,6031,6530.0,2000.0,4530.0,0.0,30.63
345,39.007358,-85.625987,1220,3000.0,0.0,3000.0,0.0,0.0
346,39.004777,-85.609716,3080,3200.0,,3200.0,,
347,40.481863,-85.628225,900,850.0,,,850.0,
348,41.441466,-85.265577,3549,3540.0,540.0,2000.0,1000.0,15.25
349,38.714226,-85.473571,2700,,,,,
350,40.770441,-87.445495,899,896.0,0.0,896.0,0.0,0.0
351,41.016155,-86.414638,311,311.0,,311.0,,
352,39.96754,-87.277512,273,270.0,0.0,270.0,0.0,0.0
353,40.473632,-86.899842,34,,,,,
354,41.526211,-86.699816,103,,,,,
355,41.476408,-86.693839,535,,,,,
356,40.192979,-86.359832,325,500.0,0.0,500.0,0.0,0.0
357,39.794914,-85.524885,1052,,,,,
358,39.449092,-87.087859,565,,,,,
359,38.680979,-87.423293,1263,1266.0,,,800.0,
360,41.302172,-86.619789,1513,1450.0,600.0,850.0,,41.38
361,40.450835,-86.042313,182,,,,,
362,41.313045,-87.028229,783,816.0,0.0,796.0,30.0,0.0
363,40.904467,-85.166946,192,190.0,0.0,190.0,0.0,0.0
364,40.024213,-85.182743,187,201.0,0.0,201.0,,0.0
365,41.507518,-87.03873,904,917.0,0.0,917.0,0.0,0.0
366,41.31754,-86.891411,276,276.0,,276.0,,
367,39.913369,-86.80026,445,,,,,
368,40.426951,-86.892773,27667,29000.0,2900.0,26100.0,0.0,10.0
369,40.673231,-85.720466,396,450.0,75.0,375.0,75.0,16.67
370,41.656572,-85.425944,1287,,,,,
371,40.8381,-85.730261,224,194.0,,194.0,,
372,40.766384,-86.535308,31,31.0,0.0,,31.0,0.0
373,41.289766,-85.734807,124,124.0,0.0,124.0,0.0,0.0
374,39.398301,-85.306294,554,,,,,
375,41.565753,-87.232014,3267,3267.0,18.0,0.0,0.0,0.55
376,41.307427,-85.744422,23,,,,,
377,40.796796,-85.900755,27,42.0,,42.0,42.0,
378,41.365989,-85.057462,30,30.0,0.0,30.0,0.0,0.0
379,41.376859,-87.453156,98,,,,,
380,41.066621,-87.134078,38,,,,,
381,41.632892,-86.738173,93,93.0,0.0,93.0,,0.0
382,41.523739,-86.274102,320,560.0,,330.0,230.0,
383,41.753538,-85.056751,30,,,,,
384,41.666985,-85.064246,19,,,,,
385,38.237013,-85.985801,407,416.0,0.0,416.0,0.0,0.0
386,40.068373,-85.848313,864,,,,,
387,41.611671,-86.72981,8085,8122.0,5825.0,1131.0,4694.0,71.72
388,39.500662,-85.185752,271,270.0,0.0,0.0,0.0,0.0
389,39.090891,-84.84995,1700,1692.0,25.0,1667.0,25.0,1.48
390,41.450276,-87.426135,21,,,,,
391,38.199787,-86.344144,201,,,,,
392,40.044464,-86.467506,6449,,,,,
393,39.553023,-87.494248,30,,,,,
394,41.67623,-85.028681,19,19.0,,19.0,,
395,33.003635,-93.460552,20,,,,,
396,39.7886,-85.142925,45,,,,,
397,39.807019,-85.352445,199,199.0,,,199.0,
398,41.550075,-87.051274,222,,,,,
399,40.414636,-85.650886,36,,,,,
400,39.689698,-86.390064,161,,,,,
401,39.635605,-84.931071,1160,1160.0,,,1160.0,
402,41.470331,-85.586855,1306,317.0,,317.0,,
403,41.676229,-85.028681,16,16.0,,16.0,,
404,40.188094,-86.903896,347,,,,321.0,
405,39.03308,-87.166557,3218,,,,,
406,40.042912,-86.194655,25,,,,,
407,39.086717,-84.916896,2046,2050.0,0.0,2050.0,0.0,0.0
408,40.754233,-86.362541,7330,7330.0,,3343.0,3987.0,
409,41.745909,-86.85079,1130,1130.0,100.0,1030.0,0.0,8.85
410,38.676995,-86.91417,1450,1450.0,,1440.0,10.0,
411,41.291424,-87.42059,3560,3608.0,146.0,3462.0,,4.05
412,39.643028,-87.367639,360,,,,,
413,40.837294,-86.782426,41,,,,,
414,40.049769,-84.939685,509,,,,,
415,38.196159,-87.296675,450,,,,,
416,38.972191,-87.082404,470,,,,,
417,38.761359,-85.401483,50,51.0,0.0,51.0,0.0,0.0
418,38.736094,-85.380426,5771,5670.0,75.0,5595.0,0.0,1.32
419,41.472465,-87.029705,51,,,,,
420,40.72847,-86.290949,86,77.0,,77.0,,
421,40.578382,-86.129431,110,,,,,
422,41.451709,-86.286356,30,,,,,
423,39.476014,-86.393395,615,,,,,
424,40.579127,-85.658449,10685,,,,,
425,40.825755,-85.339021,465,,,,,
426,39.847369,-87.187181,153,165.0,,150.0,15.0,
427,39.427825,-86.428328,4882,4320.0,1200.0,320.0,4000.0,27.78
428,38.540475,-85.668498,2300,,,,,
429,41.195998,-84.919682,476,,,,,
430,41.730405,-85.913703,51,50.0,0.0,50.0,,0.0
431,41.297778,-85.839274,221,221.0,,221.0,,
432,41.080515,-86.888483,249,,,,,
433,38.824844,-86.170016,369,330.0,0.0,330.0,0.0,0.0
434,41.173377,-86.034719,400,,,,,
435,41.219641,-85.782231,78,0.0,0.0,87.0,0.0,
436,41.163114,-85.404366,94,,,,,
437,41.709999,-86.899999,13650,,,,,
438,41.675328,-85.706101,1300,1489.0,115.0,1374.0,,7.72
439,40.051829,-85.536887,986,1000.0,50.0,150.0,800.0,5.0
440,41.749208,-85.005742,49,51.0,,,51.0,
